QSPY 6.9.2 Copyright (c) 2005-2020 Quantum Leaps
Documentation: https://www.state-machine.com/qtools/qspy.html
3371336393 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3371336408 TE0-DisA Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
===RTC===> St-Exit  Obj=Philo::inst[1],State=Philo::eating
3371336432 TE0-Arm  Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1],Tim=92,Int=0
===RTC===> St-Entry Obj=Philo::inst[1],State=Philo::thinking
3371336455 ===>Tran Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3371336475 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3371336489 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3371336819 PHILO_STAT 1 thinking
3371336847 MP-Get   Obj=EvtPool1,Free=8,Min=7
3371336861 QF-New   Sig=EAT_SIG,Size=6
3371336881 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3371336900 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3371336923 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3371336937 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3371336955 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3371336975 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3371336994 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3371337148 PHILO_STAT 2 eating  
3371337171 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3371337190 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3371337205 MP-Put   Obj=EvtPool1,Free=9
3371337219 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3371337238 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::eating
3371337256 =>Intern Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::eating
3371337270 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3371337299 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3371337318 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3371337337 =>Intern Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::thinking
3371337357 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3371337372 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3371337391 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry
3371337415 TE0-Arm  Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2],Tim=151,Int=0
===RTC===> St-Entry Obj=Philo::inst[2],State=Philo::eating
3371337434 ===>Tran Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3371337453 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3371337472 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3371337486 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3371337504 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3371337523 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3371337538 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3371337557 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3371337576 =>Ignore Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3371337595 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3371337609 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
3374973763 TE0-Post Obj=Philo::inst[3].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[3]
3374973792 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3374974067 AO-GetL  Obj=Philo::inst[3],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3374974105 Disp===> Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::thinking
3374974147 TE0-DisA Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3]
===RTC===> St-Exit  Obj=Philo::inst[3],State=Philo::thinking
3374974182 MP-Get   Obj=EvtPool1,Free=9,Min=7
3374974205 QF-New   Sig=HUNGRY_SIG,Size=6
3374974229 AO-Post  Sdr=Philo::inst[3],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::hungry
3374974258 ===>Tran Obj=Philo::inst[3],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3374974277 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3374974295 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3374974662 PHILO_STAT 3 hungry  
3374974689 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3374974708 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3374974732 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
3376289096 TE0-Post Obj=Philo::inst[4].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[4]
3376289125 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3376289301 AO-GetL  Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3376289324 Disp===> Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::eating
3376289344 MP-Get   Obj=EvtPool1,Free=9,Min=7
3376289363 QF-New   Sig=DONE_SIG,Size=6
3376289377 QF-Pub   Sdr=Philo::inst[4],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3376289401 AO-Post  Sdr=Philo::inst[4],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3376289416 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3376289431 TE0-DisA Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
===RTC===> St-Exit  Obj=Philo::inst[4],State=Philo::eating
3376289454 TE0-Arm  Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4],Tim=123,Int=0
===RTC===> St-Entry Obj=Philo::inst[4],State=Philo::thinking
3376289473 ===>Tran Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3376289488 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3376289502 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3376289716 PHILO_STAT 4 thinking
3376289731 MP-Get   Obj=EvtPool1,Free=8,Min=7
3376289741 QF-New   Sig=EAT_SIG,Size=6
3376289760 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3376289774 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3376289792 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3376289807 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3376289821 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3376289841 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3376289855 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3376289907 PHILO_STAT 0 eating  
3376289916 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3376289935 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3376289954 MP-Put   Obj=EvtPool1,Free=9
3376289968 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3376289988 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3376290003 =>Intern Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3376290017 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3376290032 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3376290046 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry
3376290065 =>Ignore Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry
3376290079 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3376290093 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3376290107 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::eating
3376290121 =>Intern Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::eating
3376290141 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3376290155 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3376290169 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3376290188 =>Intern Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::thinking
3376290198 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3376290216 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3376290231 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry
3376290260 TE0-Arm  Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0],Tim=141,Int=0
===RTC===> St-Entry Obj=Philo::inst[0],State=Philo::eating
3376290269 ===>Tran Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3376290288 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3376290302 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
3380635155 TE0-Post Obj=Philo::inst[1].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[1]
3380635179 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3380635728 AO-GetL  Obj=Philo::inst[1],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3380635756 Disp===> Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::thinking
3380635790 TE0-DisA Obj=Philo::inst[1].m_timeEvt,AO=Philo::inst[1]
===RTC===> St-Exit  Obj=Philo::inst[1],State=Philo::thinking
3380635813 MP-Get   Obj=EvtPool1,Free=9,Min=7
3380635823 QF-New   Sig=HUNGRY_SIG,Size=6
3380635847 AO-Post  Sdr=Philo::inst[1],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[1],State=Philo::hungry
3380635866 ===>Tran Obj=Philo::inst[1],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3380635885 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3380635904 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3380636223 PHILO_STAT 1 hungry  
3380636243 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3380636262 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3380636277 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2]
3386619809 TE0-Post Obj=Philo::inst[2].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[2]
3386619837 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[2],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3386620448 AO-GetL  Obj=Philo::inst[2],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3386620481 Disp===> Obj=Philo::inst[2],Sig=TIMEOUT_SIG,State=Philo::eating
3386620519 MP-Get   Obj=EvtPool1,Free=9,Min=7
3386620533 QF-New   Sig=DONE_SIG,Size=6
3386620553 QF-Pub   Sdr=Philo::inst[2],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3386620568 AO-Post  Sdr=Philo::inst[2],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3386620592 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3386620611 TE0-DisA Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2]
===RTC===> St-Exit  Obj=Philo::inst[2],State=Philo::eating
3386620630 TE0-Arm  Obj=Philo::inst[2].m_timeEvt,AO=Philo::inst[2],Tim=109,Int=0
===RTC===> St-Entry Obj=Philo::inst[2],State=Philo::thinking
3386620649 ===>Tran Obj=Philo::inst[2],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
3386620663 AO-GetL  Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3386620682 Disp===> Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3386620987 PHILO_STAT 2 thinking
3386621011 MP-Get   Obj=EvtPool1,Free=8,Min=7
3386621025 QF-New   Sig=EAT_SIG,Size=6
3386621044 QF-Pub   Sdr=Table::inst,Evt<Sig=EAT_SIG,Pool=1,Ref=0>
3386621063 AO-Post  Sdr=Table::inst,Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=2>,Que<Free=5,Min=4>
3386621077 AO-Post  Sdr=Table::inst,Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=3>,Que<Free=5,Min=4>
3386621096 AO-Post  Sdr=Table::inst,Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=4>,Que<Free=5,Min=4>
3386621111 AO-Post  Sdr=Table::inst,Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=5>,Que<Free=5,Min=4>
3386621130 AO-Post  Sdr=Table::inst,Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=6>,Que<Free=5,Min=4>
3386621144 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=6>
3386621192 PHILO_STAT 3 eating  
3386621212 =>Intern Obj=Table::inst,Sig=DONE_SIG,State=Table::serving
3386621226 QF-gc    Evt<Sig=DONE_SIG,Pool=1,Ref=1>
3386621246 MP-Put   Obj=EvtPool1,Free=9
3386621265 AO-GetL  Obj=Philo::inst[4],Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3386621279 Disp===> Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3386621293 =>Intern Obj=Philo::inst[4],Sig=EAT_SIG,State=Philo::thinking
3386621307 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=5>
3386621326 AO-GetL  Obj=Philo::inst[3],Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3386621340 Disp===> Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry
3386621363 TE0-Arm  Obj=Philo::inst[3].m_timeEvt,AO=Philo::inst[3],Tim=197,Int=0
===RTC===> St-Entry Obj=Philo::inst[3],State=Philo::eating
3386621377 ===>Tran Obj=Philo::inst[3],Sig=EAT_SIG,State=Philo::hungry->Philo::eating
3386621392 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=4>
3386621411 AO-GetL  Obj=Philo::inst[2],Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3386621425 Disp===> Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::thinking
3386621440 =>Intern Obj=Philo::inst[2],Sig=EAT_SIG,State=Philo::thinking
3386621454 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=3>
3386621473 AO-GetL  Obj=Philo::inst[1],Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3386621487 Disp===> Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::hungry
===RTC===> St-Unhnd Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::hungry
3386621507 =>Ignore Obj=Philo::inst[1],Sig=EAT_SIG,State=Philo::hungry
3386621522 QF-gcA   Evt<Sig=EAT_SIG,Pool=1,Ref=2>
3386621536 AO-GetL  Obj=Philo::inst[0],Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3386621556 Disp===> Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::eating
3386621565 =>Intern Obj=Philo::inst[0],Sig=EAT_SIG,State=Philo::eating
3386621584 QF-gc    Evt<Sig=EAT_SIG,Pool=1,Ref=1>
3386621598 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
3388743394 TE0-Post Obj=Philo::inst[4].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[4]
3388743423 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3388743676 AO-GetL  Obj=Philo::inst[4],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3388743704 Disp===> Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::thinking
3388743738 TE0-DisA Obj=Philo::inst[4].m_timeEvt,AO=Philo::inst[4]
===RTC===> St-Exit  Obj=Philo::inst[4],State=Philo::thinking
3388743762 MP-Get   Obj=EvtPool1,Free=9,Min=7
3388743777 QF-New   Sig=HUNGRY_SIG,Size=6
3388743796 AO-Post  Sdr=Philo::inst[4],Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>,Que<Free=5,Min=5>
===RTC===> St-Entry Obj=Philo::inst[4],State=Philo::hungry
3388743820 ===>Tran Obj=Philo::inst[4],Sig=TIMEOUT_SIG,State=Philo::thinking->Philo::hungry
3388743839 AO-GetL  Obj=Table::inst,Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3388743854 Disp===> Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3388744150 PHILO_STAT 4 hungry  
3388744173 =>Intern Obj=Table::inst,Sig=HUNGRY_SIG,State=Table::serving
3388744192 QF-gc    Evt<Sig=HUNGRY_SIG,Pool=1,Ref=1>
3388744210 MP-Put   Obj=EvtPool1,Free=10
           TE0-ADis Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0]
3390563832 TE0-Post Obj=Philo::inst[0].m_timeEvt,Sig=TIMEOUT_SIG,AO=Philo::inst[0]
3390563861 AO-Post  Sdr=l_clock_tick,Obj=Philo::inst[0],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>,Que<Free=5,Min=4>
3390564199 AO-GetL  Obj=Philo::inst[0],Evt<Sig=TIMEOUT_SIG,Pool=0,Ref=0>
3390564233 Disp===> Obj=Philo::inst[0],Sig=TIMEOUT_SIG,State=Philo::eating
3390564276 MP-Get   Obj=EvtPool1,Free=9,Min=7
3390564296 QF-New   Sig=DONE_SIG,Size=6
3390564315 QF-Pub   Sdr=Philo::inst[0],Evt<Sig=DONE_SIG,Pool=1,Ref=0>
3390564338 AO-Post  Sdr=Philo::inst[0],Obj=Table::inst,Evt<Sig=DONE_SIG,Pool=1,Ref=2>,Que<Free=5,Min=5>
3390564357 QF-gcA   Evt<Sig=DONE_SIG,Pool=1,Ref=2>
3390564376 TE0-DisA Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0]
===RTC===> St-Exit  Obj=Philo::inst[0],State=Philo::eating
3390564400 TE0-Arm  Obj=Philo::inst[0].m_timeEvt,AO=Philo::inst[0],Tim=65,Int=0
===RTC===> St-Entry Obj=Philo::inst[0],State=Philo::thinking
3390564424 ===>Tran Obj=Philo::inst[0],Sig=TIMEOUT_SIG,State=Philo::eating->Philo::thinking
